OBJECTID,ROUTE_ID,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,SCHEDULE_START,SCHEDULE_END,SHAPE_Length
55,300,300,BUSINESS EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,55472.8707599355
56,301,301,MARKHAM EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,62142.9617784255
57,302,302,UNIONVILLE EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,51800.1530194163
58,303,303,BUR OAK EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,87757.0597261529
59,304,304,MOUNT JOY EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,51177.9244965263
60,305,305,BOX GROVE EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,92485.3450915901
61,320,320,JANE EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,20424.590968592
62,360,360,VAUGHAN MILLS / WONDERLAND,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,58000.6671865234
63,361,361,NASHVILLE EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,52483.4687718235
64,391,391,BAYVIEW EXPRESS,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,16469.6817325555
65,401,401,ST BROTHER ANDRE SS VIA BOX GROVE,2025/01/05 00:00:00+00,2025/04/26 00:00:00+00,40577.1576091098
